QBG_YMD,QBG_TIME,QBG_AirTF,QBG_RH,QBG_Rainfall_Tot,QBG_VWC1,QBG_VWC2,QBG_VWC3,QBG_VWC4
18-09-2017,08:15:00,68.88469,90.39688,0,0.1596,0.1363,0.3916,0.2907
18-09-2017,08:30:00,68.92314,90.00768,0,0.1596,0.1364,0.3927,0.2907
18-09-2017,08:45:00,68.67863,90.98754,0,0.1596,0.1364,0.3927,0.2907
18-09-2017,09:00:00,69.28029,91.28669,0,0.1596,0.1363,0.3932,0.2914
18-09-2017,09:15:00,68.84622,90.85323,0,0.1589,0.1364,0.3927,0.2907
18-09-2017,09:30:00,69.40665,91.84682,0,0.1589,0.1364,0.3927,0.2907
18-09-2017,09:45:00,69.38194,91.64078,0,0.1589,0.1364,0.3927,0.2907
18-09-2017,10:00:00,69.44238,91.39658,0,0.1589,0.1364,0.3927,0.2907
18-09-2017,10:15:00,70.18414,90.45946,0,0.1589,0.1363,0.3949,0.2907
18-09-2017,10:30:00,70.01656,89.94969,0,0.1589,0.1364,0.3949,0.2907
18-09-2017,10:45:00,70.09622,89.58492,0,0.1589,0.1364,0.3938,0.2907
18-09-2017,11:00:00,70.51929,89.61239,0,0.1589,0.1364,0.3938,0.2907
18-09-2017,11:15:00,70.78304,88.98815,0,0.1589,0.1364,0.3938,0.2907
18-09-2017,11:30:00,70.36821,88.09682,0,0.1589,0.1363,0.3938,0.2907
18-09-2017,11:45:00,70.67865,87.468,0,0.1589,0.1364,0.3943,0.2907
19-09-2017,12:00:00,70.55502,87.16122,0,0.1589,0.1364,0.3943,0.2907
19-09-2017,12:15:00,70.41765,87.44969,0,0.1589,0.1364,0.3943,0.2907
19-09-2017,12:30:00,70.49458,88.16855,0,0.1589,0.1364,0.3938,0.2907
19-09-2017,12:45:00,70.76106,88.68443,0,0.1589,0.1364,0.3938,0.2907
19-09-2017,01:00:00,70.49458,87.82973,0,0.1589,0.1364,0.3938,0.29
19-09-2017,01:15:00,70.09897,88.39597,0,0.1589,0.1364,0.3943,0.29
19-09-2017,01:30:00,70.2281,88.51807,0,0.1589,0.1363,0.3943,0.29
19-09-2017,01:45:00,70.62369,88.4555,0,0.1589,0.1364,0.3938,0.29
19-09-2017,02:00:00,69.7693,88.95,0,0.1589,0.1364,0.3938,0.29
19-09-2017,02:15:00,69.64842,89.55286,0,0.1589,0.1364,0.3943,0.29
19-09-2017,02:30:00,69.62369,89.7757,0,0.1589,0.1363,0.3938,0.29
19-09-2017,02:45:00,70.25282,89.90237,0,0.1589,0.1363,0.3938,0.2901
19-09-2017,03:00:00,70.14018,89.8978,0,0.1589,0.1363,0.3938,0.2901
19-09-2017,03:15:00,69.72809,89.83217,0,0.1589,0.1364,0.3938,0.2894
19-09-2017,03:30:00,69.63194,89.60934,0,0.1589,0.1364,0.3938,0.2901
19-09-2017,03:45:00,70.14018,89.58645,0,0.1589,0.1364,0.3938,0.2901
19-09-2017,04:00:00,69.92315,89.6246,0,0.1589,0.1364,0.3932,0.2901
19-09-2017,04:15:00,69.69238,89.82454,0,0.1589,0.1364,0.3938,0.2901
19-09-2017,04:30:00,69.85446,89.41703,0,0.1589,0.1363,0.3938,0.29
19-09-2017,04:45:00,69.78304,89.1942,0,0.1589,0.1363,0.3938,0.29
19-09-2017,05:00:00,70.17589,88.89047,0,0.1589,0.1364,0.3938,0.2901
19-09-2017,05:15:00,69.67589,88.62643,0,0.1589,0.1364,0.3938,0.2901
19-09-2017,05:30:00,70.71985,88.3746,0,0.1589,0.1364,0.3938,0.2901
19-09-2017,05:45:00,69.98358,88.0953,0,0.1589,0.1363,0.3938,0.29
19-09-2017,06:00:00,69.62643,87.63284,0,0.1589,0.1364,0.3938,0.2901
19-09-2017,06:15:00,69.64842,87.88925,0,0.1589,0.1363,0.3938,0.2894
19-09-2017,06:30:00,70.02205,87.60842,0,0.1589,0.1364,0.3938,0.2894
19-09-2017,06:45:00,69.96436,86.9613,0,0.1589,0.1364,0.3938,0.2894
19-09-2017,07:00:00,69.65941,86.54615,0,0.1589,0.1364,0.3938,0.2894
19-09-2017,07:15:00,70.19512,86.18137,0,0.1589,0.1363,0.3938,0.2894
19-09-2017,07:30:00,70.06325,86.131,0,0.1589,0.1364,0.3938,0.2894
19-09-2017,07:45:00,70.13467,86.94603,0,0.1589,0.1363,0.3938,0.2901
19-09-2017,08:00:00,36.77752,81.04858,0,0.1589,0.1364,0.3943,0.2894
19-09-2017,08:15:00,68.0605,85.14505,0,0.1589,0.1364,0.3943,0.2888
19-09-2017,08:30:00,69.47534,85.6426,0,0.1589,0.1364,0.3938,0.2888
19-09-2017,08:45:00,76.01105,86.45763,0,0.1589,0.1364,0.3938,0.2901
19-09-2017,09:00:00,72.45063,81.25005,0,0.1589,0.1364,0.3938,0.2901
19-09-2017,09:15:00,72.577,78.92709,0,0.1589,0.1364,0.3938,0.2894
19-09-2017,09:30:00,72.89568,78.8401,0,0.1582,0.1363,0.3938,0.2901
19-09-2017,09:45:00,73.25007,77.75494,0,0.1582,0.1364,0.3938,0.2901
19-09-2017,10:00:00,73.46161,77.36727,0.01,0.1582,0.1364,0.3938,0.2888
19-09-2017,10:15:00,73.5193,76.19662,0,0.1582,0.1364,0.3938,0.2888
19-09-2017,10:30:00,73.42314,75.68381,0,0.1582,0.1364,0.3932,0.2888
19-09-2017,10:45:00,75.58524,70.07788,0,0.1582,0.1364,0.3932,0.2888
19-09-2017,11:00:00,74.92863,71.38741,0,0.1582,0.1364,0.3932,0.2887
19-09-2017,11:15:00,75.58798,69.49485,0,0.1582,0.1357,0.3932,0.2894
19-09-2017,11:30:00,74.76656,72.52905,0,0.1575,0.1357,0.3932,0.2888
19-09-2017,11:45:00,74.74458,71.10353,0,0.1575,0.1357,0.3932,0.2888
19-09-2017,12:00:00,76.48083,68.95762,0,0.1575,0.1357,0.3932,0.2888
19-09-2017,12:15:00,76.93688,67.44052,0,0.1575,0.1357,0.3932,0.2888
19-09-2017,12:30:00,77.10172,65.08398,0,0.1575,0.1356,0.3932,0.2888
19-09-2017,12:45:00,76.02754,67.51073,0,0.1575,0.1357,0.3932,0.2888
19-09-2017,01:00:00,76.75009,71.10811,0,0.1568,0.1357,0.3927,0.2881
19-09-2017,01:15:00,77.06052,65.29156,0,0.1568,0.1357,0.3927,0.2881
19-09-2017,01:30:00,77.67865,61.92159,0,0.1568,0.135,0.3927,0.2881
19-09-2017,01:45:00,78.76932,61.80865,0,0.1568,0.135,0.3927,0.2881
19-09-2017,02:00:00,77.74184,63.66762,0,0.1568,0.135,0.3927,0.2881
19-09-2017,02:15:00,77.14568,74.05224,0,0.1561,0.135,0.3927,0.2881
19-09-2017,02:30:00,74.51656,76.53393,0,0.1561,0.1349,0.3927,0.2874
19-09-2017,02:45:00,72.76105,86.15237,0,0.1568,0.135,0.3927,0.2874
19-09-2017,03:00:00,70.15666,89.36361,0,0.1568,0.1349,0.3927,0.2861
19-09-2017,03:15:00,68.72809,91.60873,0,0.1568,0.1357,0.3921,0.2861
19-09-2017,03:30:00,68.52754,92.78699,0,0.1568,0.1356,0.3916,0.2861
19-09-2017,03:45:00,68.03029,92.83889,0,0.1575,0.1356,0.3921,0.2861
19-09-2017,04:00:00,68.79128,93.73327,0,0.1575,0.1356,0.391,0.2861
19-09-2017,04:15:00,68.16765,92.93504,0,0.1575,0.1363,0.391,0.2861
19-09-2017,04:30:00,68.56601,91.81783,0,0.1575,0.1363,0.3916,0.2861
19-09-2017,04:45:00,68.37094,89.85812,0,0.1576,0.1363,0.3916,0.2861
19-09-2017,05:00:00,70.09897,88.89964,0,0.1575,0.1363,0.3916,0.2861
19-09-2017,05:15:00,71.28578,86.45305,0,0.1576,0.1363,0.3921,0.2861
19-09-2017,05:30:00,73.21711,87.37795,0,0.1583,0.1363,0.3921,0.2861
19-09-2017,05:45:00,71.32699,87.85873,0,0.1583,0.1363,0.3921,0.2861
19-09-2017,06:00:00,71.50557,86.35231,0,0.1583,0.1363,0.3921,0.2861
19-09-2017,06:15:00,70.54128,84.53149,0,0.1583,0.1363,0.3916,0.2867
19-09-2017,06:30:00,70.74731,84.33308,0,0.1582,0.1363,0.3916,0.2868
19-09-2017,06:45:00,69.98083,85.97686,0,0.1583,0.1363,0.3921,0.2867
19-09-2017,07:00:00,68.80776,91.5492,0,0.1582,0.1363,0.3921,0.2867
19-09-2017,07:15:00,68.45612,92.78546,0,0.1583,0.1363,0.3927,0.2867
19-09-2017,07:30:00,68.42316,91.23327,0,0.1583,0.1363,0.3927,0.2868
19-09-2017,07:45:00,69.05502,89.82912,0,0.1589,0.1363,0.3921,0.2867
19-09-2017,08:00:00,69.23909,86.80561,0,0.159,0.1363,0.3921,0.2867
19-09-2017,08:15:00,69.61545,85.99517,0,0.159,0.1363,0.3927,0.2867
19-09-2017,08:30:00,69.41766,87.48174,0,0.159,0.1363,0.3927,0.2867
