"TOA5","Site16_JHS_High_School","CR200X","25232","CR200X.Std.04","CR200X_12_25_rev2.CR2","19761","Table2"
"TIMESTAMP","RECORD","BattV_Min"
"TS","RN","Volts"
"","","Min"
"2018-08-09 00:00:00",111,11.84952
"2018-08-10 00:00:00",112,11.88645
"2018-08-11 00:00:00",113,11.86211
"2018-08-12 00:00:00",114,11.96956
"2018-08-13 00:00:00",115,11.98971
"2018-08-14 00:00:00",116,11.66484
"2018-08-15 00:00:00",117,11.90492
"2018-08-16 00:00:00",118,11.88226
"2018-08-17 00:00:00",119,11.90324
"2018-08-18 00:00:00",120,11.90156
"2018-08-19 00:00:00",121,11.95109
"2018-08-20 00:00:00",122,12.00733
"2018-08-21 00:00:00",123,12.00985
"2018-08-22 00:00:00",124,12.08456
"2018-08-23 00:00:00",125,11.90576
"2018-08-24 00:00:00",126,11.98887
"2018-08-25 00:00:00",127,11.91835
"2018-08-26 00:00:00",128,11.92759
"2018-08-27 00:00:00",129,11.92675
"2018-08-28 00:00:00",130,11.90156
"2018-08-29 00:00:00",131,11.82601
"2018-08-30 00:00:00",132,11.78908
"2018-08-31 00:00:00",133,11.78404
"2018-09-01 00:00:00",134,11.91667
"2018-09-02 00:00:00",135,11.97711
"2018-09-03 00:00:00",136,11.91332
"2018-09-04 00:00:00",137,11.86127
"2018-09-05 00:00:00",138,11.7916
"2018-09-06 00:00:00",139,11.82685
"2018-09-07 00:00:00",140,11.82434
"2018-09-08 00:00:00",141,11.84616
"2018-09-09 00:00:00",142,12.0023
"2018-09-10 00:00:00",143,12.04763
"2018-09-11 00:00:00",144,11.87638
"2018-09-12 00:00:00",145,11.90156
"2018-09-13 00:00:00",146,11.90828
"2018-09-14 00:00:00",147,11.87554
"2018-09-15 00:00:00",148,11.93766
"2018-09-16 00:00:00",149,11.95865
"2018-09-17 00:00:00",150,11.8831
"2018-09-18 00:00:00",151,11.97292
"2018-09-19 00:00:00",152,11.86631
"2018-09-20 00:00:00",153,11.83693
"2018-09-21 00:00:00",154,12.00565
"2018-09-22 00:00:00",155,11.95697
"2018-09-23 00:00:00",156,11.86799
"2018-09-24 00:00:00",157,11.95949
"2018-09-25 00:00:00",158,12.04091
"2018-09-26 00:00:00",159,11.82685
"2018-09-27 00:00:00",160,11.91332
"2018-09-28 00:00:00",161,11.87806
"2018-09-29 00:00:00",162,11.90576
"2018-09-30 00:00:00",163,11.93178
"2018-10-01 00:00:00",164,11.97124
"2018-10-02 00:00:00",165,12.0023
"2018-10-03 00:00:00",166,11.94941
"2018-10-04 00:00:00",167,11.93598
"2018-10-05 00:00:00",168,11.99138
"2018-10-06 00:00:00",169,12.09296
"2018-10-07 00:00:00",170,11.915
"2018-10-08 00:00:00",171,11.83021
"2018-10-09 00:00:00",172,11.59685
"2018-10-10 00:00:00",173,11.76977
"2018-10-11 00:00:00",174,11.85288
